id;name;url;description;point
1;(Chagos Gorgeous Frozen;http://chaim.com;ROI;20234
2;withdrawal Borders value-added;http://modesta.name;Fort;26583
3;envisioneer evolve Function-based;http://christy.name;Bedfordshire Customer up;120
4;Sausages virtual;https://susana.biz;frame Producer;71899
5;deposit;http://jazmyn.biz;Garden Refined Leone;41182
6;Analyst Sharable Global;https://makenzie.org;1080p SSL SDD;6838
7;Market De-engineered Lebanon;http://justine.info;dynamic;18821
8;back e-commerce invoice;http://clark.net;Computer drive Team-oriented;75233
9;cross-platform Center;https://johnson.biz;azure bluetooth;80683
10;transmitting;https://roosevelt.org;Internal Managed;82113
